"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Сервис авторизации пользователей (/endpoint)","0","Действие (ACTION)","10","0","","0"
"0","Сервис авторизации пользователей (/endpoint)","0","Вход (LOGIN)","10","0","","0"
"0","Сервис авторизации пользователей (/endpoint)","3","Протокол HTTP","0","0","Некорректные запросы","0"
"0","Сервис авторизации пользователей (/endpoint)","1","Проверка входных данных","14","0","Токен","0"
"0","Сервис авторизации пользователей (/endpoint)","0","Безопасность","7","0","API-ключ","0"
"0","Сервис авторизации пользователей (/endpoint)","0","Выход (LOGOUT)","5","0","","0"
"0","Сервис авторизации пользователей (/endpoint)","7","Интеграция с внешним сервисом","0","0","Нестандартные ответы внешнего сервиса","0"
"0","Сервис авторизации пользователей (/endpoint)","0","Основной сценарий","1","0","","0"
"0","Сервис авторизации пользователей (/endpoint)","0","Надёжность","2","0","Одновременные запросы","0"
"0","Сервис авторизации пользователей (/endpoint)","0","Проверка входных данных","5","0","Действие (action)","0"
