"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","44","Ошибка внешнего сервиса при действии не завершает сессию пользователя Внешний сервис ответил HTTP 503","","Thu Sep 24 07:36:37 UTC 2026","passed","Thu Sep 24 07:36:37 UTC 2026","","ACTION: действие пользователя","kz.dias.aqa.tests.ActionTest","failedActionKeepsSession"
"","44","Ошибка внешнего сервиса при действии не завершает сессию пользователя Внешний сервис ответил HTTP 400","","Thu Sep 24 07:36:37 UTC 2026","passed","Thu Sep 24 07:36:37 UTC 2026","","ACTION: действие пользователя","kz.dias.aqa.tests.ActionTest","failedActionKeepsSession"
"","55","Успешный вход: приложение подтверждает вход у внешнего сервиса и создаёт сессию","","Thu Sep 24 07:36:37 UTC 2026","passed","Thu Sep 24 07:36:37 UTC 2026","","LOGIN: вход пользователя","kz.dias.aqa.tests.LoginTest","successfulLogin"
"","47","Вход не выполняется, если внешний сервис вернул ошибку Внешний сервис ответил HTTP 503","","Thu Sep 24 07:36:37 UTC 2026","passed","Thu Sep 24 07:36:37 UTC 2026","","LOGIN: вход пользователя","kz.dias.aqa.tests.LoginTest","loginFailsWhenAuthReturnsError"
"Эндпоинт принимает данные только в формате формы (x-www-form-urlencoded). На JSON приложение должно ответить «415 Unsupported Media Type», а сейчас отвечает «500 Internal Server Error».","111","Тело в формате JSON отклоняется с кодом 415 Unsupported Media Type","","Thu Sep 24 07:36:49 UTC 2026","failed","Thu Sep 24 07:36:49 UTC 2026","","[BUG-4] Некорректные HTTP-запросы","kz.dias.aqa.tests.ProtocolTest","jsonBodyIsUnsupported"
"","25","Корректный токен (32 символа 0–9, A–F) принимается Только цифры","","Thu Sep 24 07:36:36 UTC 2026","passed","Thu Sep 24 07:36:36 UTC 2026","","Валидация токена","kz.dias.aqa.tests.TokenValidationTest","validTokenIsAccepted"
"","48","Вход без корректного API-ключа запрещён: сессия не создаётся, внешний сервис не вызывается Неверный ключ","","Thu Sep 24 07:36:35 UTC 2026","passed","Thu Sep 24 07:36:35 UTC 2026","","Безопасность: API-ключ","kz.dias.aqa.tests.ApiKeyTest","loginWithoutValidApiKeyIsUnauthorized"
"","42","Вход не выполняется, если внешний сервис вернул ошибку Внешний сервис ответил HTTP 400","","Thu Sep 24 07:36:37 UTC 2026","passed","Thu Sep 24 07:36:37 UTC 2026","","LOGIN: вход пользователя","kz.dias.aqa.tests.LoginTest","loginFailsWhenAuthReturnsError"
"","101","После выхода можно снова войти с тем же токеном","","Thu Sep 24 07:36:36 UTC 2026","passed","Thu Sep 24 07:36:36 UTC 2026","","LOGOUT: выход пользователя","kz.dias.aqa.tests.LogoutTest","loginAgainAfterLogout"
"","59","Выход работает, даже если внешний сервис недоступен","","Thu Sep 24 07:36:36 UTC 2026","passed","Thu Sep 24 07:36:36 UTC 2026","","LOGOUT: выход пользователя","kz.dias.aqa.tests.LogoutTest","logoutWorksWhenExternalServiceIsDown"
"Ответ-перенаправление (3xx) от внешнего сервиса не означает, что вход подтверждён.
Сейчас приложение считает такой ответ успехом и создаёт сессию — пользователь
получает доступ без реального подтверждения.","58","[BUG-2] Перенаправление (3xx) от /auth не считается успешным входом Внешний сервис ответил HTTP 307","","Thu Sep 24 07:36:48 UTC 2026","failed","Thu Sep 24 07:36:48 UTC 2026","","Обработка ответов внешнего сервиса","kz.dias.aqa.tests.ExternalServiceResponseTest","redirectFromAuthIsNotSuccess"
"Ответ-перенаправление (3xx) от внешнего сервиса не означает, что действие выполнено.
Сейчас приложение сообщает пользователю об успехе.","52","[BUG-2] Перенаправление (3xx) от /doAction не считается успешным действием Внешний сервис ответил HTTP 307","","Thu Sep 24 07:36:49 UTC 2026","failed","Thu Sep 24 07:36:49 UTC 2026","","Обработка ответов внешнего сервиса","kz.dias.aqa.tests.ExternalServiceResponseTest","redirectFromDoActionIsNotSuccess"
"Ответ-перенаправление (3xx) от внешнего сервиса не означает, что действие выполнено.
Сейчас приложение сообщает пользователю об успехе.","56","[BUG-2] Перенаправление (3xx) от /doAction не считается успешным действием Внешний сервис ответил HTTP 302","","Thu Sep 24 07:36:49 UTC 2026","failed","Thu Sep 24 07:36:49 UTC 2026","","Обработка ответов внешнего сервиса","kz.dias.aqa.tests.ExternalServiceResponseTest","redirectFromDoActionIsNotSuccess"
"","63","Успешный выход завершает сессию, внешний сервис не вызывается","","Thu Sep 24 07:36:36 UTC 2026","passed","Thu Sep 24 07:36:36 UTC 2026","","LOGOUT: выход пользователя","kz.dias.aqa.tests.LogoutTest","successfulLogout"
"","11","Действие без входа запрещено, внешний сервис не вызывается","","Thu Sep 24 07:36:37 UTC 2026","passed","Thu Sep 24 07:36:37 UTC 2026","","ACTION: действие пользователя","kz.dias.aqa.tests.ActionTest","actionWithoutLoginIsForbidden"
"","66","Вход не выполняется, если внешний сервис недоступен","","Thu Sep 24 07:36:36 UTC 2026","passed","Thu Sep 24 07:36:37 UTC 2026","","LOGIN: вход пользователя","kz.dias.aqa.tests.LoginTest","loginFailsWhenAuthIsUnavailable"
"","40","Пользователь входит, выполняет действие и выходит","","Thu Sep 24 07:36:38 UTC 2026","passed","Thu Sep 24 07:36:38 UTC 2026","","Smoke: основной пользовательский сценарий","kz.dias.aqa.tests.SmokeTest","fullUserFlow"
"На запрос к несуществующему адресу приложение должно ответить «404 Not Found», а сейчас отвечает «500 Internal Server Error».","51","Запрос на несуществующий адрес отклоняется с кодом 404 Not Found","","Thu Sep 24 07:36:49 UTC 2026","failed","Thu Sep 24 07:36:49 UTC 2026","","[BUG-4] Некорректные HTTP-запросы","kz.dias.aqa.tests.ProtocolTest","unknownPathIsNotFound"
"","93","Повторный выход отклоняется","","Thu Sep 24 07:36:36 UTC 2026","passed","Thu Sep 24 07:36:36 UTC 2026","","LOGOUT: выход пользователя","kz.dias.aqa.tests.LogoutTest","repeatedLogoutIsRejected"
"","73","Вход без корректного API-ключа запрещён: сессия не создаётся, внешний сервис не вызывается Ключ в другом регистре","","Thu Sep 24 07:36:35 UTC 2026","passed","Thu Sep 24 07:36:35 UTC 2026","","Безопасность: API-ключ","kz.dias.aqa.tests.ApiKeyTest","loginWithoutValidApiKeyIsUnauthorized"
"Ответ-перенаправление (3xx) от внешнего сервиса не означает, что вход подтверждён.
Сейчас приложение считает такой ответ успехом и создаёт сессию — пользователь
получает доступ без реального подтверждения.","55","[BUG-2] Перенаправление (3xx) от /auth не считается успешным входом Внешний сервис ответил HTTP 302","","Thu Sep 24 07:36:48 UTC 2026","failed","Thu Sep 24 07:36:48 UTC 2026","","Обработка ответов внешнего сервиса","kz.dias.aqa.tests.ExternalServiceResponseTest","redirectFromAuthIsNotSuccess"
"","20","Некорректный токен отклоняется, внешний сервис не вызывается Кириллица","","Thu Sep 24 07:36:36 UTC 2026","passed","Thu Sep 24 07:36:36 UTC 2026","","Валидация токена","kz.dias.aqa.tests.TokenValidationTest","invalidTokenIsRejected"
"","27","Выход без входа отклоняется","","Thu Sep 24 07:36:36 UTC 2026","passed","Thu Sep 24 07:36:36 UTC 2026","","LOGOUT: выход пользователя","kz.dias.aqa.tests.LogoutTest","logoutWithoutLoginIsRejected"
